image,ground_truth,kind,student_row,assessment,digit_position,sheet_template,source_scan
output/debug/broadsheet-ocr/digit-dataset/images/row-001-ca1-digit-1.jpg,0,digit,1,ca1,0,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-001-ca1-digit-2.jpg,2,digit,1,ca1,1,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-001-ca2-digit-1.jpg,0,digit,1,ca2,0,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-001-ca2-digit-2.jpg,9,digit,1,ca2,1,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-001-exam-digit-1.jpg,4,digit,1,exam,0,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-001-exam-digit-2.jpg,2,digit,1,exam,1,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-002-ca1-digit-1.jpg,0,digit,2,ca1,0,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-002-ca1-digit-2.jpg,3,digit,2,ca1,1,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-002-ca2-digit-1.jpg,0,digit,2,ca2,0,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-002-ca2-digit-2.jpg,4,digit,2,ca2,1,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-002-exam-digit-1.jpg,5,digit,2,exam,0,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-002-exam-digit-2.jpg,1,digit,2,exam,1,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-003-ca1-digit-1.jpg,0,digit,3,ca1,0,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-003-ca1-digit-2.jpg,5,digit,3,ca1,1,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-003-ca2-digit-1.jpg,0,digit,3,ca2,0,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-003-ca2-digit-2.jpg,6,digit,3,ca2,1,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-003-exam-digit-1.jpg,5,digit,3,exam,0,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-003-exam-digit-2.jpg,2,digit,3,exam,1,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-004-ca1-digit-1.jpg,0,digit,4,ca1,0,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-004-ca1-digit-2.jpg,7,digit,4,ca1,1,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-004-ca2-digit-1.jpg,0,digit,4,ca2,0,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-004-ca2-digit-2.jpg,8,digit,4,ca2,1,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-004-exam-digit-1.jpg,5,digit,4,exam,0,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-004-exam-digit-2.jpg,3,digit,4,exam,1,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-005-ca1-digit-1.jpg,1,digit,5,ca1,0,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-005-ca1-digit-2.jpg,0,digit,5,ca1,1,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-005-ca2-digit-1.jpg,0,digit,5,ca2,0,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-005-ca2-digit-2.jpg,0,digit,5,ca2,1,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-005-exam-digit-1.jpg,5,digit,5,exam,0,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-005-exam-digit-2.jpg,8,digit,5,exam,1,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-006-ca1-digit-1.jpg,0,digit,6,ca1,0,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-006-ca1-digit-2.jpg,1,digit,6,ca1,1,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-006-ca2-digit-1.jpg,0,digit,6,ca2,0,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-006-ca2-digit-2.jpg,4,digit,6,ca2,1,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-006-exam-digit-1.jpg,6,digit,6,exam,0,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-006-exam-digit-2.jpg,0,digit,6,exam,1,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-007-ca1-digit-1.jpg,0,digit,7,ca1,0,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-007-ca1-digit-2.jpg,2,digit,7,ca1,1,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-007-ca2-digit-1.jpg,0,digit,7,ca2,0,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-007-ca2-digit-2.jpg,3,digit,7,ca2,1,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-007-exam-digit-1.jpg,6,digit,7,exam,0,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-007-exam-digit-2.jpg,1,digit,7,exam,1,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-008-ca1-digit-1.jpg,0,digit,8,ca1,0,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-008-ca1-digit-2.jpg,4,digit,8,ca1,1,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-008-ca2-digit-1.jpg,0,digit,8,ca2,0,SMB-TEST-0001,synthetic-labelled-fixture
